uniform_number,Player_name,bat_side,batting_average,games_played,plate_appearances,at_bats,runs_scored,hits,infield_hits,infield_hit_percentage,doubles,triples,home_runs,HR_decision,total_bases,RBIs,strikeouts,walks,intentional_walks,hit_by_pitch,sacrifice_hits,sacrifice_flies,stolen_bases,caught_stealing,stolen_base_percentage,errors,passed_balls,GIDP,runners_in_scoring_position,on_base_percentage,slugging_percentage,OPS,height,weight
63,増田珠,右,.207,52,102,92,8,19,1,5.3,4,0,2,1-1-0,29,6,22,5,0,1,4,0,0,1,0.0,0,0,2,.250,.255,.315,0.57,179cm,85kg
64,岩田幸宏,左,.228,81,140,123,19,28,5,17.9,2,0,1,1-0-0,33,7,22,6,2,2,9,0,10,0,100.0,0,0,2,.263,.275,.268,0.543,175cm,79kg
65,鈴木叶,右,.500,2,4,4,0,2,0,0.0,0,0,0,-,2,2,1,0,0,0,0,0,0,0,-,0,0,0,.500,.500,.500,1.0,181cm,81kg
67,伊藤琉偉,右,.000,6,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,180cm,78kg
93,橋本星哉,左,.000,1,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,178cm,85kg
12,石山泰稚,右,-,37,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,182cm,83kg
16,原樹理,右,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,79kg
17,清水昇,左,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,95kg
18,奥川恭伸,右,.000,7,10,9,0,0,0,-,0,0,0,-,0,0,5,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,0.0,184cm,82kg
19,石川雅規,左,.111,9,12,9,0,1,0,0.0,0,0,0,-,1,0,4,0,0,0,3,0,0,0,-,1,0,0,.000,.111,.111,0.222,167cm,73kg
20,木澤尚文,右,-,55,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,90kg
21,吉村貢司郎,右,.048,23,48,42,1,2,0,0.0,0,0,0,-,2,0,19,2,0,0,4,0,0,0,-,0,0,1,.000,.091,.048,0.139,183cm,85kg
24,星知弥,右,-,36,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,91kg
26,山野太一,左,.000,14,14,10,0,0,0,-,0,0,0,-,0,1,5,0,0,0,4,0,0,0,-,1,0,0,.000,.000,.000,0.0,173cm,81kg
28,松本健吾,右,.000,3,4,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,1,0,0,0,-,0,0,0,-,.000,.000,0.0,180cm,83kg
29,小川泰弘,右,.167,12,25,18,1,3,0,0.0,0,0,0,-,3,2,5,1,0,0,6,0,0,0,-,0,0,1,.000,.211,.167,0.377,172cm,82kg
34,田口麗斗,左,-,41,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,171cm,79kg
35,石原勇輝,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,87kg
37,ロドリゲス,右,.000,32,2,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,1,0,0,0,-,0,0,0,-,.000,.000,0.0,182cm,90kg
39,エスパーダ,右,-,24,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,N/A,N/A
40,高梨裕稔,右,.000,8,10,9,0,0,0,-,0,0,0,-,0,0,5,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,0.0,188cm,94kg
41,柴田大地,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,94kg
43,山本大貴,左,-,44,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,184cm,98kg
44,大西広樹,右,.000,60,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,0.0,175cm,92kg
45,小澤怜史,左,.154,40,15,13,0,2,0,0.0,0,0,0,-,2,0,4,0,0,0,2,0,0,0,-,0,0,0,.000,.154,.154,0.308,182cm,87kg
47,高橋奎二,左,.158,21,40,38,2,6,2,33.3,0,0,0,-,6,0,16,1,0,0,1,0,0,0,-,0,0,0,.111,.179,.158,0.337,180cm,83kg
48,金久保優斗,左,.000,5,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,185cm,87kg
49,嘉弥真新也,左,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
52,尾仲祐哉,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
53,長谷川宙輝,左,.000,19,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,176cm,86kg
54,サイスニード,右,.107,24,36,28,1,3,0,0.0,1,0,0,-,4,1,12,0,0,0,8,0,0,0,-,1,0,0,.125,.107,.143,0.25,N/A,N/A
58,阪口皓亮,左,.000,2,3,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,0.0,188cm,90kg
61,宮川哲,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,177cm,86kg
68,丸山翔大,左,-,27,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,194cm,90kg
69,今野龍太,右,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,86kg
99,ヤフーレ,両,.028,23,40,36,0,1,0,0.0,0,0,0,-,1,0,18,0,0,0,4,0,0,0,-,2,0,1,.000,.028,.028,0.056,185cm,97kg
0,尾田剛樹,左,.000,65,12,11,8,0,0,-,0,0,0,-,0,0,4,0,0,0,1,0,4,5,44.4,0,0,0,.000,.000,.000,0.0,175cm,75kg
1,岡林勇希,左,.256,123,460,425,34,109,13,11.9,10,3,0,-,125,12,62,29,2,0,6,0,10,7,58.8,0,0,2,.187,.304,.294,0.598,175cm,75kg
2,田中幹也,右,.224,112,343,313,26,70,4,5.7,8,2,2,1-0-1,88,23,46,20,1,0,10,0,5,1,83.3,4,0,3,.250,.270,.281,0.551,166cm,68kg
3,高橋周平,左,.260,60,190,173,8,45,5,11.1,6,0,2,1-1-0,57,16,40,13,2,1,3,0,0,1,0.0,9,0,7,.318,.316,.329,0.645,180cm,90kg
4,鵜飼航丞,右,.185,12,27,27,1,5,0,0.0,2,0,0,-,7,3,10,0,0,0,0,0,0,0,-,0,0,1,.167,.185,.259,0.444,183cm,100kg
5,村松開人,左,.275,109,418,371,35,102,18,17.6,14,3,1,1-0-0,125,25,81,26,1,4,14,3,3,4,42.9,5,0,7,.195,.327,.337,0.664,172cm,80kg
6,中田翔,右,.217,62,225,212,15,46,5,10.9,10,0,4,0-4-0,68,21,34,9,2,1,0,3,0,0,-,1,0,9,.190,.249,.321,0.57,184cm,107kg
7,根尾昂,左,.500,3,2,2,0,1,0,0.0,1,0,0,-,2,1,1,0,0,0,0,0,0,0,-,1,0,0,-,.500,1.000,1.5,177cm,85kg
8,大島洋平,左,.198,75,125,116,7,23,3,13.0,6,0,0,-,29,5,11,9,1,0,0,0,1,1,50.0,0,0,0,.235,.256,.250,0.506,176cm,75kg
9,中島宏之,右,.000,15,15,13,0,0,0,-,0,0,0,-,0,1,7,0,0,2,0,0,0,0,-,0,0,1,.000,.133,.000,0.133,N/A,N/A
25,石川昂弥,右,.272,82,275,254,17,69,6,8.7,16,0,4,1-3-0,97,25,37,17,0,2,0,2,0,0,-,1,0,9,.241,.320,.382,0.702,186cm,100kg
29,辻本倫太郎,右,.167,13,20,18,0,3,0,0.0,0,0,0,-,3,0,0,1,1,0,1,0,0,0,-,3,0,1,.000,.211,.167,0.377,168cm,73kg
30,三好大倫,左,.220,37,90,82,6,18,2,11.1,2,1,0,-,22,4,22,5,0,1,1,1,0,0,-,1,0,2,.125,.270,.268,0.538,N/A,N/A
32,石垣雅海,右,.200,9,10,10,0,2,0,0.0,1,0,0,-,3,0,0,0,0,0,0,0,1,0,100.0,0,0,0,-,.200,.300,0.5,181cm,88kg
35,木下拓哉,右,.228,74,203,180,11,41,5,12.2,4,0,3,3-0-0,54,9,26,9,0,0,14,0,0,0,-,1,2,9,.167,.265,.300,0.565,183cm,95kg
