uniform_number,Player_name,bat_side,batting_average,games_played,plate_appearances,at_bats,runs_scored,hits,infield_hits,infield_hit_percentage,doubles,triples,home_runs,HR_decision,total_bases,RBIs,strikeouts,walks,intentional_walks,hit_by_pitch,sacrifice_hits,sacrifice_flies,stolen_bases,caught_stealing,stolen_base_percentage,errors,passed_balls,GIDP,runners_in_scoring_position,on_base_percentage,slugging_percentage,OPS,height,weight
42,ジャクソン,右,.098,25,51,41,1,4,1,25.0,0,0,0,-,4,1,28,2,0,0,8,0,0,0,-,2,0,1,.214,.140,.098,0.237,190cm,95kg
45,森原康平,左,-,58,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,88kg
46,石川達也,右,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,75kg
48,京山将弥,右,.000,23,2,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,1,0,0,0,-,1,0,0,-,.000,.000,0.0,183cm,80kg
49,ウェンデルケン,右,-,28,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,N/A,N/A
53,中川颯,左,.250,29,14,12,1,3,1,33.3,0,0,1,1-0-0,6,3,3,0,0,0,2,0,0,0,-,0,0,0,.167,.250,.500,0.75,N/A,N/A
54,石田裕太郎,右,.000,12,18,16,0,0,0,-,0,0,0,-,0,0,9,0,0,0,2,0,0,0,-,0,0,0,.000,.000,.000,0.0,180cm,74kg
59,平良拳太郎,右,.200,4,10,10,2,2,0,0.0,0,0,0,-,2,1,7,0,0,0,0,0,0,0,-,0,0,0,1.000,.200,.200,0.4,180cm,80kg
62,ウィック,左,.000,43,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,1,0,0,-,.000,.000,0.0,190cm,106kg
64,中川虎大,右,-,31,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,85kg
65,宮城滝太,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,181cm,80kg
69,ケイ,左,.000,24,46,38,1,0,0,-,0,0,0,-,0,1,22,3,0,0,5,0,0,0,-,1,0,0,.000,.073,.000,0.073,183cm,102kg
92,堀岡隼人,右,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,87kg
93,ディアス,左,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,95kg
0,木浪聖也,左,.214,116,409,359,27,77,7,9.1,13,1,1,0-1-0,95,35,64,32,4,4,13,1,1,0,100.0,8,0,17,.239,.285,.265,0.55,179cm,81kg
1,森下翔太,右,.275,129,526,458,64,126,6,4.8,24,2,16,11-5-0,202,73,78,53,1,12,0,3,0,2,0.0,2,0,13,.351,.363,.441,0.804,182cm,93kg
2,梅野隆太郎,右,.209,95,318,268,18,56,2,3.6,9,0,0,-,65,15,84,30,3,1,17,2,0,1,0.0,2,0,6,.220,.289,.243,0.532,173cm,77kg
3,大山悠輔,右,.259,130,545,483,63,125,4,3.2,18,0,14,7-6-0,185,68,88,52,3,7,0,3,0,4,0.0,7,0,19,.354,.338,.383,0.721,181cm,95kg
4,熊谷敬宥,右,.125,32,9,8,2,1,0,0.0,0,0,0,-,1,0,2,0,0,0,1,0,1,1,50.0,0,0,0,.000,.125,.125,0.25,175cm,68kg
5,近本光司,左,.285,141,639,562,71,160,19,11.9,16,5,6,5-1-0,204,45,93,68,5,5,0,4,19,9,67.9,4,0,7,.321,.365,.363,0.728,171cm,70kg
7,ノイジー,右,.231,49,149,134,8,31,0,0.0,5,0,1,1-0-0,39,8,16,14,1,0,0,1,1,0,100.0,2,0,9,.115,.302,.291,0.593,N/A,N/A
8,佐藤輝明,左,.268,120,496,451,58,121,4,3.3,21,4,16,12-3-0,198,70,133,36,2,5,0,4,0,2,0.0,23,0,11,.322,.327,.439,0.766,187cm,95kg
12,坂本誠志郎,右,.223,64,218,193,11,43,5,11.6,3,0,0,-,46,12,38,12,0,2,10,1,0,0,-,2,0,6,.238,.274,.238,0.512,176cm,79kg
25,渡邉諒,右,.260,67,137,123,7,32,2,6.3,5,0,2,2-0-0,43,11,34,11,0,1,0,2,0,1,0.0,5,0,2,.161,.321,.350,0.671,178cm,86kg
32,井上広大,右,.212,23,55,52,5,11,1,9.1,2,0,3,2-1-0,22,8,20,3,0,0,0,0,1,1,50.0,0,0,0,.250,.255,.423,0.678,189cm,100kg
33,糸原健斗,左,.216,89,128,111,8,24,3,12.5,2,0,0,-,26,9,20,15,0,1,0,1,0,0,-,1,0,3,.216,.313,.234,0.547,175cm,81kg
38,小幡竜平,左,.241,50,135,116,12,28,4,14.3,3,1,1,1-0-0,36,9,27,12,1,0,7,0,2,3,40.0,5,0,1,.313,.313,.310,0.623,184cm,78kg
39,榮枝裕貴,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,86kg
51,中野拓夢,左,.232,143,634,547,63,127,12,9.4,20,2,1,0-1-0,154,32,97,46,0,5,35,1,6,7,46.2,8,0,10,.240,.297,.282,0.579,172cm,67kg
53,島田海吏,左,.275,62,94,80,8,22,4,18.2,2,0,0,-,24,2,16,10,0,1,3,0,5,3,62.5,2,0,2,.111,.363,.300,0.663,176cm,74kg
55,ミエセス,右,.111,14,19,18,1,2,0,0.0,0,0,0,-,2,0,5,1,0,0,0,0,0,0,-,1,0,1,.000,.158,.111,0.269,N/A,N/A
57,長坂拳弥,右,.000,5,4,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,-,.000,.000,0.0,173cm,80kg
58,前川右京,左,.269,116,362,324,25,87,8,9.2,16,0,4,3-1-0,115,42,50,27,0,10,0,1,0,0,-,1,0,7,.259,.343,.355,0.697,176cm,86kg
59,藤田健斗,右,-,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,173cm,78kg
60,小野寺暖,右,.148,25,29,27,3,4,0,0.0,0,1,0,-,6,0,10,0,0,1,1,0,0,0,-,0,0,0,.000,.179,.222,0.401,183cm,82kg
61,豊田寛,右,.211,11,19,19,1,4,1,25.0,1,0,0,-,5,0,5,0,0,0,0,0,0,0,-,1,0,2,.143,.211,.263,0.474,178cm,86kg
62,植田海,両,.273,59,11,11,11,3,1,33.3,0,1,0,-,5,3,3,0,0,0,0,0,4,1,80.0,0,0,0,1.000,.273,.455,0.727,175cm,70kg
94,原口文仁,右,.241,52,65,58,5,14,0,0.0,1,0,2,2-0-0,21,9,14,5,0,2,0,0,1,0,100.0,0,0,0,.261,.323,.362,0.685,182cm,97kg
97,野口恭佑,右,.189,26,61,53,6,10,0,0.0,0,0,0,-,10,5,12,5,0,2,0,1,0,0,-,0,0,1,.357,.279,.189,0.467,180cm,87kg
0,ゲラ,左,-,59,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,85kg
13,岩崎優,左,-,60,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,92kg
14,岩貞祐太,左,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,87kg
15,西純矢,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,184cm,98kg
16,西勇輝,右,.184,21,39,38,1,7,0,0.0,1,0,0,-,8,4,13,0,0,0,1,0,0,0,-,4,0,0,.500,.184,.211,0.395,181cm,83kg
17,青柳晃洋,右,.000,12,18,12,0,0,0,-,0,0,0,-,0,2,5,1,0,0,4,1,0,0,-,0,0,0,.000,.071,.000,0.071,N/A,N/A
27,伊藤将司,左,.056,18,22,18,2,1,0,0.0,0,0,0,-,1,0,11,0,0,0,4,0,0,0,-,0,0,0,.000,.056,.056,0.111,179cm,88kg
29,髙橋遥人,左,.222,5,12,9,0,2,2,100.0,0,0,0,-,2,0,5,1,0,0,2,0,0,0,-,0,0,0,.200,.300,.222,0.522,181cm,81kg
30,門別啓人,左,.000,5,2,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,183cm,88kg
34,漆原大晟,左,-,38,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,182cm,84kg
35,才木浩人,右,.075,25,52,40,1,3,1,33.3,1,0,0,-,4,1,25,5,0,0,7,0,0,0,-,1,0,1,.000,.178,.100,0.278,189cm,92kg
36,浜地真澄,右,-,18,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,88kg
37,及川雅貴,左,.500,9,6,6,0,3,2,66.7,0,0,0,-,3,1,0,0,0,0,0,0,0,0,-,0,0,0,1.000,.500,.500,1.0,184cm,84kg
41,村上頌樹,左,.114,25,48,44,0,5,0,0.0,0,0,0,-,5,3,24,1,0,0,3,0,0,0,-,0,0,0,.154,.133,.114,0.247,175cm,83kg
46,島本浩也,左,-,33,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,176cm,73kg
47,桐敷拓馬,左,-,71,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,179cm,93kg
49,大竹耕太郎,左,.174,24,51,46,2,8,3,37.5,1,0,0,-,9,3,22,0,0,0,5,0,0,0,-,0,0,2,.385,.174,.196,0.37,184cm,86kg
50,富田蓮,左,-,33,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,176cm,76kg
54,加治屋蓮,右,-,13,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,185cm,90kg
63,石黒佑弥,右,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,85kg
64,岡留英貴,右,-,35,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,181cm,95kg
69,石井大智,右,-,56,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,175cm,80kg
92,川原陸,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,186cm,92kg
98,佐藤蓮,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,189cm,105kg
99,ビーズリー,右,.000,14,23,21,2,0,0,-,0,0,0,-,0,0,11,1,0,0,1,0,0,0,-,0,0,0,.000,.045,.000,0.045,191cm,102kg
0,上本崇司,右,.209,62,146,129,16,27,2,7.4,2,0,0,-,29,7,24,4,0,4,9,0,0,2,0.0,1,0,3,.182,.255,.225,0.48,170cm,76kg
2,田中広輔,左,.156,66,108,96,5,15,3,20.0,2,0,2,1-1-0,23,7,26,9,0,1,0,2,1,1,50.0,2,0,2,.227,.231,.240,0.471,171cm,85kg
7,堂林翔太,右,.230,87,273,244,15,56,4,7.1,13,0,1,0-1-0,72,17,67,16,0,1,9,3,0,2,0.0,3,0,4,.207,.277,.295,0.572,184cm,96kg
9,秋山翔吾,左,.289,138,587,547,60,158,13,8.2,20,1,4,3-1-0,192,30,96,29,3,5,2,4,6,5,54.5,0,0,6,.278,.328,.351,0.679,184cm,86kg
27,會澤翼,右,.187,57,159,150,9,28,2,7.1,6,0,0,-,34,13,43,7,1,2,0,0,0,0,-,0,1,6,.235,.233,.227,0.459,175cm,95kg
31,坂倉将吾,左,.279,121,462,427,43,119,8,6.7,19,1,12,7-5-0,176,44,80,31,3,1,1,2,3,2,60.0,6,3,7,.253,.328,.412,0.74,177cm,91kg
32,石原貴規,右,.230,56,139,122,11,28,4,14.3,6,0,3,3-0-0,43,11,22,5,1,5,5,2,0,0,-,1,1,1,.167,.284,.352,0.636,173cm,90kg
33,菊池涼介,右,.241,136,497,453,27,109,16,14.7,19,0,9,7-2-0,155,38,69,25,3,1,17,1,2,2,50.0,7,0,9,.193,.281,.342,0.623,171cm,71kg
37,野間峻祥,左,.271,113,443,391,40,106,12,11.3,14,5,1,1-0-0,133,28,52,43,1,5,3,1,8,5,61.5,1,0,9,.260,.350,.340,0.69,182cm,86kg
38,宇草孔基,左,.242,41,75,66,10,16,0,0.0,2,0,3,3-0-0,27,8,22,4,0,2,3,0,3,1,75.0,0,0,1,.286,.306,.409,0.715,185cm,84kg
40,磯村嘉孝,右,.000,10,10,9,0,0,0,-,0,0,0,-,0,0,4,1,0,0,0,0,0,0,-,0,0,0,.000,.100,.000,0.1,178cm,92kg
44,林晃汰,左,.183,27,64,60,4,11,2,18.2,4,0,0,-,15,2,20,4,1,0,0,0,0,0,-,0,0,3,.154,.234,.250,0.484,181cm,98kg
50,中村健人,右,.083,12,24,24,1,2,0,0.0,0,0,1,1-0-0,5,2,8,0,0,0,0,0,0,0,-,0,0,0,.125,.083,.208,0.292,183cm,96kg
51,小園海斗,左,.280,143,588,540,52,151,21,13.9,15,3,2,2-0-0,178,61,53,30,6,6,7,5,13,9,59.1,15,0,6,.341,.322,.330,0.651,178cm,91kg
52,末包昇大,右,.238,79,304,286,22,68,9,13.2,14,0,9,7-1-0,109,37,85,12,0,6,0,0,1,2,33.3,3,0,6,.284,.283,.381,0.664,188cm,107kg
54,韮澤雄也,左,.133,11,15,15,1,2,1,50.0,0,0,0,-,2,0,2,0,0,0,0,0,0,0,-,0,0,1,-,.133,.133,0.267,175cm,85kg
55,松山竜平,左,.178,65,78,73,2,13,1,7.7,4,0,1,1-0-0,20,10,12,4,3,0,0,1,0,0,-,0,0,5,.171,.218,.274,0.492,176cm,96kg
56,久保修,右,.059,19,18,17,1,1,0,0.0,0,0,0,-,1,0,8,0,0,1,0,0,0,0,-,0,0,0,.000,.111,.059,0.17,181cm,89kg
58,仲田侑仁,右,.250,1,4,4,1,1,0,0.0,0,0,0,-,1,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.250,.250,0.5,187cm,107kg
59,大盛穂,左,.226,74,35,31,7,7,1,14.3,2,0,0,-,9,4,10,2,0,0,2,0,2,1,66.7,0,0,0,.429,.273,.290,0.563,179cm,84kg
60,田村俊介,左,.198,37,106,101,4,20,3,15.0,3,2,0,-,27,5,27,3,1,1,1,0,1,1,50.0,1,0,2,.143,.229,.267,0.496,178cm,97kg
61,矢野雅哉,左,.260,137,495,430,45,112,18,16.1,13,6,2,2-0-0,143,38,109,38,1,3,20,4,13,10,56.5,12,0,8,.305,.322,.333,0.655,171cm,72kg
63,内田湘大,右,.333,1,3,3,0,1,0,0.0,0,0,0,-,1,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.333,.333,0.667,183cm,97kg
69,羽月隆太郎,左,.227,53,25,22,12,5,1,20.0,1,0,0,-,6,1,8,1,0,0,2,0,12,7,63.2,1,0,0,.000,.261,.273,0.534,168cm,73kg
94,佐藤啓介,左,.133,7,17,15,1,2,1,50.0,0,0,0,-,2,0,3,2,0,0,0,0,0,0,-,0,0,0,.167,.235,.133,0.369,182cm,90kg
96,中村奨成,右,.145,30,70,69,4,10,0,0.0,2,0,0,-,12,1,13,1,0,0,0,0,0,1,0.0,0,0,1,.125,.157,.174,0.331,181cm,86kg
97,中村貴浩,左,.208,11,25,24,4,5,2,40.0,0,0,0,-,5,3,5,0,0,0,1,0,0,0,-,0,0,1,.429,.208,.208,0.417,177cm,87kg
99,二俣翔一,右,.196,80,122,107,7,21,0,0.0,4,0,1,0-1-0,28,7,26,8,0,1,6,0,1,0,100.0,2,0,3,.192,.259,.262,0.52,180cm,78kg
10,レイノルズ,右,.000,2,6,4,0,0,0,-,0,0,0,-,0,1,2,1,0,0,0,1,0,0,-,0,0,1,-,.167,.000,0.167,N/A,N/A
95,シャイナー,右,.133,12,31,30,1,4,0,0.0,1,0,1,1-0-0,8,5,9,1,0,0,0,0,0,0,-,0,0,1,.167,.161,.267,0.428,N/A,N/A
11,九里亜蓮,右,.000,23,39,31,0,0,0,-,0,0,0,-,0,2,18,0,0,0,7,1,0,0,-,2,0,0,.000,.000,.000,0.0,188cm,98kg
12,大道温貴,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,91kg
13,森浦大輔,左,-,53,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,78kg
14,大瀬良大地,右,.048,25,45,42,0,2,0,0.0,0,0,0,-,2,0,21,0,0,0,3,0,0,0,-,2,0,2,.000,.048,.048,0.095,188cm,94kg
16,森翔平,左,.167,5,8,6,0,1,0,0.0,0,0,0,-,1,0,2,0,0,0,2,0,0,0,-,0,0,0,.000,.167,.167,0.333,177cm,86kg
17,常廣羽也斗,右,.000,2,4,4,0,0,0,-,0,0,0,-,0,0,4,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,180cm,79kg
18,森下暢仁,右,.234,23,52,47,5,11,1,9.1,1,0,0,-,12,3,12,1,0,1,3,0,0,0,-,0,0,0,.429,.265,.255,0.521,181cm,81kg
19,野村祐輔,右,.000,3,2,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,1,0,0,-,.000,.000,0.0,N/A,N/A
20,栗林良吏,右,-,60,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,177cm,88kg
21,中﨑翔太,右,-,24,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,187cm,100kg
22,髙太一,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,179cm,89kg
24,黒原拓未,左,1.000,53,2,1,1,1,0,0.0,0,1,0,-,3,1,0,0,0,0,1,0,0,0,-,1,0,0,-,1.000,3.000,4.0,173cm,82kg
26,益田武尚,右,-,10,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,174cm,86kg
28,床田寛樹,左,.178,26,52,45,1,8,0,0.0,0,0,0,-,8,1,7,0,0,0,7,0,0,0,-,2,0,0,.091,.178,.178,0.356,181cm,97kg
29,ケムナ誠,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,190cm,96kg
30,滝田一希,左,.000,1,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,183cm,84kg
34,高橋昂也,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,182cm,95kg
36,塹江敦哉,左,-,53,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,91kg
39,長谷部銀次,左,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,184cm,88kg
41,矢崎拓也,右,-,26,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,176cm,99kg
42,ハッチ,右,.167,5,7,6,1,1,0,0.0,0,0,0,-,1,1,4,0,0,0,1,0,0,0,-,0,0,0,.500,.167,.167,0.333,N/A,N/A
43,島内颯太郎,右,-,58,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,180cm,86kg
45,松本竜也,右,-,12,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,178cm,100kg
46,河野佳,右,.000,13,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,175cm,86kg
48,アドゥワ誠,右,.034,20,32,29,1,1,1,100.0,0,0,0,-,1,0,14,0,0,0,3,0,0,0,-,0,0,0,.167,.034,.034,0.069,196cm,80kg
65,玉村昇悟,左,.167,15,19,18,1,3,0,0.0,0,0,0,-,3,2,9,0,0,0,1,0,0,0,-,0,0,1,.250,.167,.167,0.333,179cm,86kg
66,遠藤淳志,右,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,186cm,90kg
68,ハーン,左,-,35,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,198cm,117kg
98,コルニエル,右,-,16,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,N/A,N/A
0,湯浅大,右,.167,19,7,6,2,1,0,0.0,0,0,0,-,1,2,2,0,0,0,1,0,0,1,0.0,0,0,0,.500,.167,.167,0.333,172cm,73kg
0,増田大輝,右,.200,40,38,30,4,6,1,16.7,1,1,0,-,9,4,6,1,0,0,7,0,4,1,80.0,0,0,1,.571,.226,.300,0.526,172cm,68kg
2,吉川尚輝,左,.287,143,602,536,65,154,17,11.0,25,4,5,5-0-0,202,46,61,41,2,6,13,6,12,5,70.6,5,0,8,.274,.341,.377,0.718,177cm,82kg
5,門脇誠,左,.243,129,405,350,29,85,15,17.6,9,1,0,-,96,21,63,37,7,2,16,0,9,3,75.0,16,0,3,.247,.319,.274,0.593,171cm,76kg
6,坂本勇人,右,.238,109,426,395,34,94,8,8.5,14,0,7,7-0-0,129,34,72,27,1,1,0,3,1,0,100.0,6,0,14,.212,.286,.327,0.613,177cm,84kg
7,長野久義,右,.258,54,98,89,5,23,1,4.3,3,1,0,-,28,14,25,9,1,0,0,0,1,1,50.0,0,0,2,.270,.327,.315,0.641,180cm,85kg
8,丸佳浩,左,.278,138,595,525,51,146,12,8.2,18,1,14,8-5-1,208,45,93,65,5,3,0,2,8,4,66.7,0,0,9,.226,.360,.396,0.756,177cm,94kg
12,萩尾匡也,右,.215,56,163,149,13,32,5,15.6,8,2,2,1-1-0,50,12,41,11,1,1,1,1,0,2,0.0,1,0,4,.211,.272,.336,0.607,180cm,85kg
13,梶谷隆幸,左,.188,6,17,16,2,3,0,0.0,0,0,1,1-0-0,6,2,4,1,0,0,0,0,0,0,-,0,0,1,.333,.235,.375,0.61,N/A,N/A
22,小林誠司,右,.152,42,123,105,4,16,0,0.0,3,0,1,1-0-0,22,8,18,9,2,2,7,0,1,0,100.0,1,2,1,.132,.233,.210,0.442,178cm,86kg
23,立岡宗一郎,左,.214,48,99,84,12,18,1,5.6,0,0,0,-,18,8,19,11,1,0,4,0,3,2,60.0,0,0,0,.304,.305,.214,0.52,N/A,N/A
24,大城卓三,左,.254,96,321,283,19,72,2,2.8,17,0,3,2-1-0,98,27,62,31,2,3,0,4,0,0,-,2,3,3,.197,.330,.346,0.677,187cm,95kg
25,岡本和真,右,.280,143,611,535,70,150,14,9.3,37,0,27,22-3-1,268,83,97,66,10,5,0,5,1,1,50.0,6,0,5,.286,.362,.501,0.863,186cm,100kg
27,岸田行倫,右,.242,88,298,269,22,65,6,9.2,10,1,4,3-1-0,89,26,43,14,0,4,9,2,2,2,50.0,3,6,11,.203,.287,.331,0.618,176cm,88kg
35,泉口友汰,左,.201,66,185,164,10,33,2,6.1,6,1,1,0-1-0,44,9,24,18,1,0,3,0,1,0,100.0,3,0,2,.267,.280,.268,0.549,178cm,84kg
37,郡拓也,右,.000,5,4,4,1,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,179cm,88kg
38,岡田悠希,左,.143,4,9,7,0,1,0,0.0,0,0,0,-,1,0,2,2,0,0,0,0,0,0,-,0,0,0,1.000,.333,.143,0.476,184cm,86kg
39,モンテス,右,.272,46,159,151,14,41,3,7.3,15,0,1,0-1-0,59,14,21,7,2,1,0,0,1,0,100.0,0,0,3,.281,.308,.391,0.699,N/A,N/A
40,中山礼都,左,.318,32,48,44,2,14,2,14.3,3,0,0,-,17,2,12,4,0,0,0,0,0,0,-,0,0,1,.300,.375,.386,0.761,182cm,82kg
42,ヘルナンデス,右,.294,56,240,221,34,65,4,6.2,11,0,8,7-0-1,100,30,58,15,1,3,0,1,0,1,0.0,0,0,8,.352,.346,.452,0.798,188cm,115kg
43,重信慎之介,左,.067,33,18,15,6,1,0,0.0,0,0,0,-,1,0,6,3,0,0,0,0,6,1,85.7,1,0,0,.000,.222,.067,0.289,173cm,74kg
44,佐々木俊輔,左,.231,59,156,143,13,33,7,21.2,5,1,0,-,40,6,44,9,0,0,3,1,2,1,66.7,0,0,3,.261,.275,.280,0.554,174cm,80kg
50,オコエ瑠偉,右,.261,68,157,138,16,36,2,5.6,9,0,3,2-1-0,54,13,35,9,0,1,8,1,4,0,100.0,1,0,3,.323,.309,.391,0.7,185cm,100kg
51,浅野翔吾,右,.240,40,158,146,18,35,4,11.4,11,2,3,3-0-0,59,18,27,7,1,2,2,1,1,0,100.0,3,0,2,.295,.282,.404,0.686,171cm,86kg
55,秋広優人,左,.261,26,48,46,5,12,3,25.0,1,0,0,-,13,1,12,2,0,0,0,0,1,0,100.0,1,0,1,.167,.292,.283,0.574,200cm,100kg
59,若林楽人,右,.214,27,44,42,3,9,1,11.1,1,1,1,1-0-0,15,7,11,1,0,1,0,0,1,0,100.0,0,0,0,.364,.250,.357,0.607,177cm,83kg
61,増田陸,右,.000,4,6,5,0,0,0,-,0,0,0,-,0,0,1,0,0,1,0,0,0,0,-,0,0,1,.000,.167,.000,0.167,179cm,88kg
67,山瀬慎之助,右,.333,2,6,6,1,2,0,0.0,0,0,0,-,2,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.333,.333,0.667,177cm,89kg
94,喜多隆介,右,.000,1,1,1,1,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,0.0,179cm,93kg
98,ウレーニャ,右,.000,7,8,7,0,0,0,-,0,0,0,-,0,0,4,1,0,0,0,0,0,0,-,0,0,0,.000,.125,.000,0.125,N/A,N/A
59,松原聖弥,左,.154,9,16,13,1,2,1,50.0,0,0,0,-,2,2,5,3,0,0,0,0,0,0,-,0,0,0,.667,.313,.154,0.466,173cm,78kg
15,大勢,右,-,43,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,90kg
17,西舘勇陽,右,.000,28,2,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,-,0,0,1,-,.000,.000,0.0,185cm,79kg
18,菅野智之,右,.089,24,53,45,1,4,0,0.0,0,0,0,-,4,0,26,2,0,0,6,0,0,0,-,1,0,1,.000,.128,.089,0.217,N/A,N/A
19,山﨑伊織,左,.136,24,53,44,1,6,0,0.0,2,0,0,-,8,4,19,1,0,0,8,0,0,0,-,1,0,0,.308,.156,.182,0.337,181cm,81kg
