背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
3,浅村栄斗,右,.253,143,552,471,51,119,5,4.2,19,0,14,11-2-1,180,60,101,68,4,4,0,9,1,2,33.3,9,0,12,.260,.346,.382,.728
4,阿部寿樹,右,.227,78,254,229,19,52,1,1.9,13,2,9,4-4-1,96,32,54,20,0,1,4,0,0,2,0.0,3,0,3,.275,.292,.419,.711
5,茂木栄五郎,左,.265,46,75,68,6,18,0,0.0,4,1,1,0-1-0,27,8,13,5,0,0,1,1,0,0,-,0,0,0,.280,.311,.397,.708
7,鈴木大地,左,.266,123,460,406,41,108,9,8.3,11,5,4,4-0-0,141,41,43,23,0,13,15,3,0,0,-,3,0,4,.282,.324,.347,.671
8,辰己涼介,左,.294,143,597,537,68,158,13,8.2,22,12,7,6-0-1,225,58,108,44,2,8,2,6,20,2,90.9,2,0,10,.323,.353,.419,.772
23,フランコ,右,.218,68,243,229,20,50,3,6.0,5,0,8,6-0-1,79,30,49,9,0,2,0,3,0,0,-,1,0,7,.259,.251,.345,.596
24,黒川史陽,左,.232,22,60,56,8,13,1,7.7,1,0,1,1-0-0,17,8,12,4,0,0,0,0,0,0,-,2,0,2,.263,.283,.304,.587
25,田中和基,両,.129,68,34,31,8,4,0,0.0,1,0,0,-,5,1,9,0,0,0,3,0,0,0,-,0,0,0,.125,.129,.161,.290
27,岡島豪郎,左,.200,31,93,80,6,16,1,6.3,1,1,1,0-1-0,22,6,15,11,1,1,1,0,0,1,0.0,0,0,3,.100,.304,.275,.579
30,平良竜哉,右,.143,18,24,21,4,3,1,33.3,0,0,0,-,3,3,3,2,0,0,1,0,0,1,0.0,0,0,0,.500,.217,.143,.360
32,中島大輔,左,.228,37,128,123,18,28,2,7.1,8,1,1,1-0-0,41,10,21,2,0,3,0,0,1,0,100.0,0,0,2,.320,.258,.333,.591
34,山﨑剛,左,.000,5,6,6,1,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
35,島内宏明,左,.214,40,154,131,8,28,1,3.6,3,1,0,-,33,12,16,16,0,3,0,3,0,0,-,0,0,4,.242,.307,.252,.559
39,伊藤裕季也,右,.261,44,125,115,10,30,4,13.3,6,1,2,2-0-0,44,10,34,5,0,1,4,0,0,1,0.0,2,0,2,.316,.298,.383,.680
42,山田遥楓,右,.160,25,27,25,2,4,0,0.0,2,0,0,-,6,1,10,2,0,0,0,0,0,0,-,1,0,0,.167,.222,.240,.462
44,田中貴也,左,.100,17,12,10,0,1,1,100.0,0,0,0,-,1,0,4,2,0,0,0,0,0,0,-,0,1,1,.000,.250,.100,.350
48,渡邊佳明,左,.250,47,154,136,9,34,3,8.8,2,0,0,-,36,11,26,11,1,0,5,2,0,0,-,0,0,3,.256,.302,.265,.567
50,武藤敦貴,左,.200,7,5,5,0,1,0,0.0,0,0,0,-,1,0,2,0,0,0,0,0,0,1,0.0,0,0,0,.000,.200,.200,.400
51,小郷裕哉,左,.257,143,642,565,64,145,22,15.2,24,6,7,5-2-0,202,49,120,68,3,3,1,5,32,5,86.5,3,0,6,.295,.337,.358,.694
55,安田悠馬,左,.262,34,128,122,12,32,2,6.3,6,0,2,2-0-0,44,9,38,6,0,0,0,0,0,0,-,0,0,1,.296,.297,.361,.658
63,入江大樹,右,.417,5,14,12,2,5,1,20.0,0,0,0,-,5,0,3,1,0,0,1,0,0,0,-,1,0,0,.000,.462,.417,.878
65,堀内謙伍,左,.000,4,6,6,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,2,0,0,.000,.000,.000,.000
66,村林一輝,右,.241,139,571,518,51,125,15,12.0,13,3,6,4-2-0,162,50,91,21,0,2,23,7,5,1,83.3,13,0,11,.260,.270,.313,.583
70,石原彪,右,.171,68,172,146,9,25,1,4.0,5,0,4,3-1-0,42,13,50,13,0,0,13,0,0,0,-,1,3,4,.200,.239,.288,.527
78,辰見鴻之介,右,.000,2,3,3,1,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
投手打撃成績
11,岸孝之,右,.000,22,2,1,0,0,0,-,0,0,0,-,0,0,0,1,0,0,0,0,0,0,-,1,0,0,-,.500,.000,.500
13,ポンセ,右,.000,15,4,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,2,0,0,0,-,0,0,0,-,.000,.000,.000
14,則本昂大,左,-,54,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
17,古謝樹,左,.000,15,3,1,1,0,0,-,0,0,0,-,0,0,1,0,0,0,2,0,0,0,-,1,0,0,-,.000,.000,.000
18,田中将大,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
19,荘司康誠,右,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
20,ターリー,左,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
21,早川隆久,左,.333,25,3,3,0,1,0,0.0,0,0,0,-,1,0,2,0,0,0,0,0,0,0,-,1,0,0,.000,.333,.333,.667
22,小孫竜二,右,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
28,酒居知史,右,-,49,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
29,高田孝一,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
31,渡辺翔太,右,-,49,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
38,弓削隼人,左,-,34,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
40,櫻井周斗,左,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
41,伊藤茉央,左,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
43,宋家豪,左,-,41,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
45,松井友飛,右,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
46,藤平尚真,右,-,47,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
47,藤井聖,左,.250,22,4,4,0,1,0,0.0,0,0,0,-,1,1,1,0,0,0,0,0,0,0,-,0,0,0,1.000,.250,.250,.500
49,西垣雅矢,左,-,18,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
52,津留﨑大成,右,-,14,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
53,坂井陽翔,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
54,日當直喜,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
56,鈴木翔天,左,-,49,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
57,瀧中瞭太,右,-,12,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
61,松田啄磨,右,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
69,内星龍,左,.000,20,4,4,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,4,0,0,-,.000,.000,.000
71,吉川雄大,右,-,13,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
72,宮森智志,右,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
79,清宮虎多朗,左,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
合計,.212,143,5127,4589,350,971,86,8.9%,171,29,60,-,1380,334,994,349,14,56,106,27,83,36,69.7%,72,11,90,.221,.274,.301,.575
0,児玉亮涼,右,.180,32,58,50,3,9,0,0.0,2,2,0,-,15,2,9,5,0,1,2,0,5,0,100.0,0,0,2,.200,.268,.300,.568
1,栗山巧,左,.226,60,154,124,8,28,1,3.6,7,1,1,1-0-0,40,12,23,26,1,2,0,2,0,0,-,0,0,1,.179,.364,.323,.686
2,岡田雅利,右,1.000,1,1,1,0,1,0,0.0,1,0,0,-,2,0,0,0,0,0,0,0,0,0,-,0,0,0,-,1.000,2.000,3.000
4,山野辺翔,右,.213,50,90,80,10,17,6,35.3,3,1,0,-,22,0,17,5,0,0,5,0,6,1,85.7,1,0,1,.133,.259,.275,.534
5,外崎修汰,右,.227,127,500,436,41,99,6,6.1,25,1,7,2-4-1,147,41,88,45,4,10,6,3,11,3,78.6,5,0,15,.216,.312,.337,.649
6,源田壮亮,左,.264,143,577,522,41,138,20,14.5,15,7,3,2-1-0,176,21,75,32,2,1,20,2,12,4,75.0,4,0,4,.229,.307,.337,.644
7,金子侑司,両,.211,37,141,128,14,27,2,7.4,1,0,2,0-2-0,34,8,23,12,0,0,1,0,3,2,60.0,0,0,1,.192,.279,.266,.544
8,渡部健人,右,.030,11,38,33,0,1,0,0.0,0,0,0,-,1,0,18,5,0,0,0,0,0,0,-,0,0,0,.000,.158,.030,.188
9,蛭間拓哉,左,.220,63,232,214,16,47,2,4.3,8,1,1,1-0-0,60,16,43,9,0,5,3,1,3,1,75.0,1,0,3,.268,.266,.280,.547
10,佐藤龍世,右,.244,93,345,295,25,72,4,5.6,20,1,7,6-1-0,115,34,70,37,1,4,3,6,0,4,0.0,5,0,10,.230,.330,.390,.720
22,古賀悠斗,右,.228,105,279,246,16,56,3,5.4,3,1,3,1-2-0,70,12,58,20,0,0,13,0,0,0,-,2,5,8,.180,.286,.285,.570
27,炭谷銀仁朗,右,.188,49,103,85,1,16,2,12.5,2,1,0,-,20,6,20,6,0,1,10,1,0,0,-,1,3,2,.174,.247,.235,.483
30,元山飛優,左,.143,33,81,77,2,11,1,9.1,2,0,1,1-0-0,16,7,21,2,0,1,1,0,0,0,-,4,0,2,.294,.175,.208,.383
31,平沼翔太,左,.265,45,144,132,12,35,3,8.6,9,0,0,-,44,9,23,8,0,2,2,0,0,0,-,4,0,2,.375,.317,.333,.650
32,山村崇嘉,左,.219,58,223,201,14,44,6,13.6,5,1,2,1-1-0,57,23,38,13,0,2,3,4,1,2,33.3,8,0,2,.311,.268,.284,.552
35,松原聖弥,左,.123,24,72,65,5,8,0,0.0,2,1,0,-,12,5,23,5,0,0,2,0,1,0,100.0,1,0,0,.250,.186,.185,.370
37,柘植世那,右,.167,42,45,42,1,7,1,14.3,1,0,0,-,8,1,10,1,0,1,1,0,0,0,-,0,1,0,.125,.205,.190,.395
44,アギラー,右,.204,30,124,113,7,23,0,0.0,5,0,2,0-2-0,34,10,31,9,0,2,0,0,0,0,-,1,0,3,.205,.274,.301,.575
46,鈴木将平,左,.191,33,76,68,2,13,0,0.0,3,0,0,-,16,4,10,3,0,1,3,1,1,2,33.3,1,0,1,.067,.233,.235,.468
50,髙松渡,左,.000,35,6,6,7,0,0,-,0,0,0,-,0,0,4,0,0,0,0,0,8,2,80.0,0,0,0,-,.000,.000,.000
51,西川愛也,左,.227,104,335,313,30,71,10,14.1,11,2,6,2-4-0,104,31,57,15,1,1,4,2,8,2,80.0,0,0,6,.347,.263,.332,.595
52,陽川尚将,右,.133,11,33,30,0,4,0,0.0,0,0,0,-,4,2,7,2,0,1,0,0,0,0,-,1,0,0,.250,.212,.133,.345
53,牧野翔矢,左,.050,10,20,20,0,1,0,0.0,0,0,0,-,1,0,10,0,0,0,0,0,0,0,-,0,1,0,.000,.050,.050,.100
55,コルデロ,左,.129,23,73,70,5,9,0,0.0,2,0,1,0-1-0,14,4,24,2,0,0,0,1,0,0,-,0,0,0,.100,.151,.200,.351
60,中村剛也,右,.191,58,205,188,13,36,2,5.6,13,0,7,1-6-0,70,14,55,14,3,2,0,1,1,0,100.0,0,0,3,.093,.254,.372,.626
62,滝澤夏央,左,.186,68,137,118,15,22,5,22.7,1,2,0,-,27,4,30,8,0,1,10,0,3,1,75.0,6,0,0,.174,.244,.229,.473
63,長谷川信哉,右,.183,72,239,208,13,38,2,5.3,4,1,2,2-0-0,50,8,41,19,0,7,5,0,10,2,83.3,1,0,4,.140,.274,.240,.514
65,古市尊,右,.000,6,6,6,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,1,0,100.0,0,1,0,.000,.000,.000,.000
66,ブランドン,右,.188,4,18,16,0,3,0,0.0,0,0,0,-,3,0,7,2,0,0,0,0,0,0,-,1,0,0,.000,.278,.188,.465
67,野村大樹,右,.225,57,204,178,15,40,1,2.5,10,4,5,2-3-0,73,22,44,19,0,3,1,3,1,1,50.0,4,0,6,.214,.305,.410,.716
68,岸潤一郎,右,.216,98,311,287,25,62,6,9.7,9,2,6,4-2-0,93,25,50,14,0,3,7,0,4,5,44.4,1,0,7,.286,.260,.324,.584
73,高木渉,左,.000,3,8,7,0,0,0,-,0,0,0,-,0,0,0,0,0,1,0,0,0,0,-,0,0,0,.000,.125,.000,.125
75,奥村光一,右,.177,45,84,79,3,14,0,0.0,2,0,0,-,16,3,12,2,0,2,1,0,2,3,40.0,0,0,1,.278,.217,.203,.419
78,ガルシア,両,.131,19,69,61,3,8,1,12.5,5,0,1,1-0-0,16,4,26,7,1,1,0,0,0,0,-,1,0,2,.273,.232,.262,.494
99,村田怜音,右,.231,4,13,13,0,3,0,0.0,0,0,0,-,3,1,4,0,0,0,0,0,0,0,-,0,0,0,.333,.231,.231,.462
35,若林楽人,右,.129,19,66,62,3,8,2,25.0,0,0,3,1-1-0,17,5,12,1,1,1,2,0,2,1,66.7,1,0,4,.067,.156,.274,.430
投手打撃成績
00,ヤン,左,-,37,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
11,上田大河,右,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
12,渡邉勇太朗,右,.000,14,2,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,1,0,0,-,.000,.000,.000
13,髙橋光成,右,.000,15,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
14,増田達至,右,-,13,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
15,與座海人,右,.000,7,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
16,隅田知一郎,左,.000,26,5,5,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,2,0,0,-,.000,.000,.000
17,松本航,右,-,34,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
19,佐藤隼輔,左,-,45,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
20,田村伊知郎,左,-,28,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
21,武内夏暉,左,.000,21,2,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,1,0,0,0,-,2,0,0,-,.000,.000,.000
23,糸川亮太,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
25,平井克典,右,.000,13,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
29,青山美夏人,右,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
34,甲斐野央,左,-,19,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
40,浜屋将太,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
42,ボー・タカハシ,右,-,33,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
43,羽田慎之介,左,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
45,本田圭佑,右,-,31,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
47,杉山遙希,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
48,今井達也,右,.000,25,4,3,0,0,0,-,0,0,0,-,0,0,1,1,0,0,0,0,0,0,-,2,0,0,.000,.250,.000,.250
54,アブレイユ,右,-,52,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
58,中村祐太,右,-,27,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
61,平良海馬,左,-,22,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
69,水上由伸,右,-,29,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
70,豆田泰志,右,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
71,菅井信也,左,.000,8,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
合計,.245,143,5364,4815,532,1181,90,7.6%,203,26,111,-,1769,504,1068,348,21,53,115,33,91,52,63.6%,75,4,100,.258,.301,.367,.669
2,マルティネス,右,.234,126,459,393,42,92,3,3.3,20,4,13,7-4-2,159,57,101,51,3,11,0,4,2,1,66.7,4,0,12,.243,.336,.405,.740
3,加藤豪将,左,.172,28,63,58,1,10,0,0.0,1,0,0,-,11,1,11,5,0,0,0,0,0,0,-,0,0,1,.143,.238,.190,.428
4,上川畑大悟,左,.248,106,305,258,25,64,4,6.3,4,2,1,1-0-0,75,16,40,22,0,6,18,1,5,0,100.0,4,0,4,.250,.321,.291,.611
5,野村佑希,右,.210,56,152,143,8,30,1,3.3,7,1,2,0-2-0,45,9,28,7,1,1,0,1,2,0,100.0,0,0,4,.179,.250,.315,.565
7,松本剛,右,.236,127,486,437,46,103,3,2.9,18,1,1,0-1-0,126,19,52,24,2,4,17,4,20,8,71.4,3,0,17,.190,.279,.288,.568
8,淺間大基,左,.275,49,126,109,16,30,5,16.7,4,1,1,0-1-0,39,11,35,9,0,2,4,2,4,2,66.7,2,0,0,.211,.336,.358,.694
9,中島卓也,左,.205,46,41,39,12,8,1,12.5,1,0,0,-,9,2,9,2,0,0,0,0,4,4,50.0,0,0,0,.214,.244,.231,.475
10,清水優心,右,.143,12,15,14,1,2,1,50.0,1,0,0,-,3,1,5,0,0,0,1,0,0,0,-,0,0,0,.250,.143,.214,.357
12,矢澤宏太,左,.111,28,19,18,0,2,2,100.0,0,0,0,-,2,0,5,0,0,0,1,0,0,0,-,0,0,1,.200,.111,.111,.222
21,清宮幸太郎,左,.300,89,329,290,43,87,8,9.2,18,1,15,12-2-0,152,51,62,31,3,5,0,3,1,3,25.0,5,0,5,.394,.374,.524,.898
23,伏見寅威,右,.242,62,184,165,9,40,2,5.0,5,0,0,-,45,21,26,4,0,2,12,1,0,0,-,2,0,3,.349,.267,.273,.540
27,古川裕大,左,.000,1,3,2,0,0,0,-,0,0,0,-,0,0,2,1,0,0,0,0,0,0,-,0,0,0,.000,.333,.000,.333
30,郡司裕也,右,.256,127,495,441,52,113,9,8.0,14,0,12,7-5-0,163,49,71,40,1,4,6,4,2,2,50.0,11,0,6,.287,.321,.370,.691
33,進藤勇也,右,.000,2,3,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
35,福田光輝,左,.357,5,14,14,1,5,0,0.0,2,0,0,-,7,2,4,0,0,0,0,0,0,0,-,0,0,0,.500,.357,.500,.857
36,宮崎一樹,右,.200,4,6,5,0,1,0,0.0,0,0,0,-,1,0,2,1,0,0,0,0,0,0,-,0,0,0,-,.333,.200,.533
37,江越大賀,右,.000,19,10,10,1,0,0,-,0,0,0,-,0,0,7,0,0,0,0,0,0,2,0.0,0,0,0,.000,.000,.000,.000
38,石井一成,左,.234,68,219,197,20,46,1,2.2,11,1,4,2-1-1,71,18,42,12,0,1,9,0,2,3,40.0,2,0,2,.200,.281,.360,.641
43,水野達稀,左,.220,105,359,332,30,73,5,6.8,8,8,7,6-1-0,118,37,81,13,1,1,12,1,9,5,64.3,12,0,2,.258,.251,.355,.606
50,五十幡亮汰,左,.161,94,127,112,38,18,5,27.8,2,1,0,-,22,3,34,6,0,1,8,0,18,9,66.7,1,0,1,.091,.210,.196,.407
53,水谷瞬,右,.287,97,353,327,41,94,6,6.4,18,3,9,6-2-1,145,39,79,21,2,3,1,1,4,1,80.0,3,0,3,.375,.335,.443,.779
56,細川凌平,左,.222,51,64,54,4,12,2,16.7,1,0,0,-,13,5,11,4,0,0,4,2,3,1,75.0,3,0,0,.182,.267,.241,.507
58,奈良間大己,右,.180,90,150,139,10,25,1,4.0,4,0,0,-,29,7,39,2,0,0,8,1,2,0,100.0,3,0,2,.152,.190,.209,.399
61,今川優馬,右,.211,6,19,19,1,4,0,0.0,1,0,0,-,5,0,5,0,0,0,0,0,0,2,0.0,0,0,0,.000,.211,.263,.474
64,田宮裕涼,左,.277,109,349,307,28,85,12,14.1,12,2,3,3-0-0,110,30,71,21,1,7,11,3,10,4,71.4,4,4,10,.321,.334,.358,.693
66,万波中正,右,.252,136,556,508,60,128,9,7.0,34,0,18,12-5-1,216,60,120,39,3,5,1,3,2,3,40.0,6,0,13,.248,.310,.425,.735
98,梅林優貴,右,.000,3,5,4,0,0,0,-,0,0,0,-,0,0,3,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,.000
99,レイエス,右,.290,103,368,335,39,97,7,7.2,15,1,25,17-5-1,189,65,90,31,4,0,0,2,0,0,-,0,0,9,.271,.348,.564,.912
6,スティーブンソン,左,.161,24,63,62,3,10,2,20.0,2,0,0,-,12,0,24,1,0,0,0,0,1,2,33.3,0,0,5,.100,.175,.194,.368
投手打撃成績
13,生田目翼,右,-,43,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
14,加藤貴之,左,.000,27,3,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,1,0,0,0,-,1,0,0,.000,.000,.000,.000
16,達孝太,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
17,伊藤大海,左,.250,26,4,4,0,1,1,100.0,0,0,0,-,1,0,1,0,0,0,0,0,0,0,-,1,0,0,.000,.250,.250,.500
18,山﨑福也,左,.167,24,7,6,1,1,0,0.0,0,0,0,-,1,1,0,1,0,0,0,0,0,0,-,2,0,0,.333,.286,.167,.452
20,上原健太,左,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
22,杉浦稔大,右,-,40,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
24,金村尚真,右,.000,29,2,2,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
25,宮西尚生,左,-,30,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
26,田中正義,右,-,53,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
28,河野竜生,左,-,52,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
29,細野晴希,左,.000,2,2,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
31,マーフィー,右,.000,40,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
32,黒木優太,左,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
34,堀瑞輝,左,-,10,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
40,福田俊,左,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
41,ロドリゲス,右,-,10,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
42,ザバラ,右,-,16,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
45,バーヘイゲン,右,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
46,畔柳亨丞,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
47,鈴木健矢,左,.000,8,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
48,齋藤友貴哉,左,-,25,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
52,池田隆英,右,-,29,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
