背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
63,板山祐太郎,左,.236,65,194,178,11,42,6,14.3,4,3,3,1-2-0,61,13,36,14,2,0,1,1,1,1,50.0,2,0,9,.211,.290,.343,.633
66,ビシエド,右,.209,15,46,43,2,9,0,0.0,1,0,1,1-0-0,13,2,3,2,1,1,0,0,0,0,-,0,0,3,.154,.261,.302,.563
68,福永裕基,右,.306,111,402,363,40,111,20,18.0,22,2,6,3-3-0,155,32,82,27,1,6,4,2,9,3,75.0,6,0,4,.318,.362,.427,.789
94,ディカーソン,左,.205,32,102,88,9,18,0,0.0,4,0,3,3-0-0,31,5,19,12,2,2,0,0,1,0,100.0,0,0,2,.043,.314,.352,.666
95,ロドリゲス,右,.130,23,59,54,3,7,2,28.6,0,0,0,-,7,1,16,2,0,0,3,0,0,0,-,4,0,0,.167,.161,.130,.290
97,樋口正修,左,.000,6,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,1,0,100.0,0,0,0,-,.000,.000,.000
99,カリステ,右,.261,114,393,372,30,97,9,9.3,11,1,7,3-4-0,131,36,67,15,3,0,3,3,2,2,50.0,8,0,9,.286,.287,.352,.639
投手打撃成績
11,小笠原慎之介,左,.083,24,44,36,0,3,0,0.0,0,0,0,-,3,0,17,1,0,0,7,0,0,0,-,0,0,0,.000,.108,.083,.191
12,田島慎二,右,-,2,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
13,橋本侑樹,左,.000,47,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,.000
16,岩嵜翔,右,-,21,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
17,柳裕也,右,.200,13,24,20,1,4,1,25.0,2,0,0,-,6,0,8,1,0,0,3,0,0,0,-,0,0,0,.250,.238,.300,.538
18,梅津晃大,右,.111,14,19,18,1,2,0,0.0,0,0,0,-,2,0,9,0,0,0,1,0,0,0,-,0,0,0,.000,.111,.111,.222
19,髙橋宏斗,右,.077,21,46,39,4,3,2,66.7,1,0,0,-,4,1,13,1,0,0,6,0,0,0,-,2,0,0,.091,.100,.103,.203
20,涌井秀章,右,.045,16,24,22,1,1,0,0.0,1,0,0,-,2,0,9,1,0,0,1,0,0,0,-,1,0,1,.000,.087,.091,.178
22,大野雄大,左,.083,9,15,12,1,1,0,0.0,0,0,0,-,1,1,7,1,0,0,2,0,0,0,-,2,0,0,.167,.154,.083,.237
24,福谷浩司,右,.222,8,10,9,0,2,0,0.0,1,0,0,-,3,2,1,0,0,0,1,0,0,0,-,0,0,1,.250,.222,.333,.556
31,仲地礼亜,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
33,祖父江大輔,左,-,28,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
34,福敬登,左,.000,13,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
38,松葉貴大,左,.208,17,30,24,1,5,1,20.0,0,0,0,-,5,2,8,0,0,0,6,0,0,0,-,0,0,0,.600,.208,.208,.417
41,勝野昌慶,右,-,39,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
46,梅野雄吾,右,-,18,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
48,土生翔太,右,.000,7,3,3,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
50,清水達也,右,-,60,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
54,藤嶋健人,右,1.000,50,1,1,0,1,0,0.0,0,0,0,-,1,1,0,0,0,0,0,0,0,0,-,0,0,0,1.000,1.000,1.000,2.000
59,齋藤綱記,左,-,56,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
69,松木平優太,右,.000,8,14,14,0,0,0,-,0,0,0,-,0,0,6,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
90,松山晋也,右,-,59,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
91,メヒア,右,.000,15,17,11,0,0,0,-,0,0,0,-,0,0,5,1,0,0,5,0,0,0,-,1,0,0,.000,.083,.000,.083
92,マルティネス,左,-,60,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
93,フェリス,右,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
